"Drug","Cell.type","Direction","Theme","Best.pathway.p","Best.intersection","Number.of.pathways","Representative.pathway"
"bortezomib","Basal_epithelial_cells","UP","ECM / extracellular structure",1.54598685709706e-21,47,5,"Extracellular matrix organization"
"bortezomib","Basal_epithelial_cells","UP","Mitochondrial respiration / oxidative phosphorylation",4.19188783328936e-16,26,5,"ATP synthesis coupled electron transport"
"neratinib","Luminal_L1.1_epithelial_cells","DOWN","Metabolic processes",2.7623754825183e-122,65,1,"Response of EIF2AK4 (GCN2) to amino acid deficiency"
"neratinib","Luminal_L1.1_epithelial_cells","DOWN","Other",4.93735424510651e-126,65,1,"Selenocysteine synthesis"
"neratinib","Luminal_L1.1_epithelial_cells","DOWN","Translation / ribosomal processes",2.81550059526385e-131,66,8,"Peptide chain elongation"
"neratinib","Luminal_L1.2_epithelial_cells","DOWN","Translation / ribosomal processes",1.51075759025459e-79,65,10,"Eukaryotic Translation Elongation"
"pazopanib","Luminal_L2_epithelial_cells","DOWN","Metabolic processes",9.21313069824125e-14,13,1,"Response of EIF2AK4 (GCN2) to amino acid deficiency"
"pazopanib","Luminal_L2_epithelial_cells","DOWN","Other",3.0383570597365e-14,13,1,"Selenocysteine synthesis"
"pazopanib","Luminal_L2_epithelial_cells","DOWN","Translation / ribosomal processes",1.67742674269263e-14,13,8,"Viral mRNA Translation"
"raloxifene","Basal_epithelial_cells","UP","ECM / extracellular structure",1.54598685709706e-21,47,5,"Extracellular matrix organization"
"raloxifene","Basal_epithelial_cells","UP","Mitochondrial respiration / oxidative phosphorylation",4.19188783328936e-16,26,5,"ATP synthesis coupled electron transport"
"sorafenib","Luminal_L2_epithelial_cells","DOWN","Metabolic processes",9.21313069824125e-14,13,1,"Response of EIF2AK4 (GCN2) to amino acid deficiency"
"sorafenib","Luminal_L2_epithelial_cells","DOWN","Other",3.0383570597365e-14,13,1,"Selenocysteine synthesis"
"sorafenib","Luminal_L2_epithelial_cells","DOWN","Translation / ribosomal processes",1.67742674269263e-14,13,8,"Viral mRNA Translation"
"tretinoin","Luminal_L1.2_epithelial_cells","DOWN","Translation / ribosomal processes",1.51075759025459e-79,65,10,"Eukaryotic Translation Elongation"
"vorinostat","Basal_epithelial_cells","UP","ECM / extracellular structure",1.54598685709706e-21,47,5,"Extracellular matrix organization"
"vorinostat","Basal_epithelial_cells","UP","Mitochondrial respiration / oxidative phosphorylation",4.19188783328936e-16,26,5,"ATP synthesis coupled electron transport"
