"Gene","Neratinib","Vorinostat","Bortezomib","Number.of.drugs"
"ANAPC11",TRUE,TRUE,TRUE,3
"ANXA2",TRUE,TRUE,TRUE,3
"ANXA5",TRUE,TRUE,TRUE,3
"AP2M1",TRUE,TRUE,TRUE,3
"AP3S1",TRUE,TRUE,TRUE,3
"ARF1",TRUE,TRUE,TRUE,3
"ARF4",TRUE,TRUE,TRUE,3
"ARPC1A",TRUE,TRUE,TRUE,3
"ARPC2",TRUE,TRUE,TRUE,3
"ARPC3",TRUE,TRUE,TRUE,3
"ARPC5",TRUE,TRUE,TRUE,3
"ATP5C1",TRUE,TRUE,TRUE,3
"ATP5G3",TRUE,TRUE,TRUE,3
"ATP5J",TRUE,TRUE,TRUE,3
"ATP6V0B",TRUE,TRUE,TRUE,3
"ATP6V0E1",TRUE,TRUE,TRUE,3
"ATP6V1G1",TRUE,TRUE,TRUE,3
"BANF1",TRUE,TRUE,TRUE,3
"BNIP3L",TRUE,TRUE,TRUE,3
"BRK1",TRUE,TRUE,TRUE,3
"BUD31",TRUE,TRUE,TRUE,3
"C14orf166",TRUE,TRUE,TRUE,3
"C19orf53",TRUE,TRUE,TRUE,3
"C19orf70",TRUE,TRUE,TRUE,3
"C1orf122",TRUE,TRUE,TRUE,3
"CALD1",TRUE,TRUE,TRUE,3
"CALM2",TRUE,TRUE,TRUE,3
"CALU",TRUE,TRUE,TRUE,3
"CAV1",TRUE,TRUE,TRUE,3
"CD276",TRUE,TRUE,TRUE,3
"CD63",TRUE,TRUE,TRUE,3
"CHCHD2",TRUE,TRUE,TRUE,3
"CHPF",TRUE,TRUE,TRUE,3
"CKAP4",TRUE,TRUE,TRUE,3
"CLEC11A",TRUE,TRUE,TRUE,3
"CLIC1",TRUE,TRUE,TRUE,3
"CNN3",TRUE,TRUE,TRUE,3
"COL6A1",TRUE,TRUE,TRUE,3
"COL6A2",TRUE,TRUE,TRUE,3
"COPS8",TRUE,TRUE,TRUE,3
"COX4I1",TRUE,TRUE,TRUE,3
"COX5B",TRUE,TRUE,TRUE,3
"COX6A1",TRUE,TRUE,TRUE,3
"COX6B1",TRUE,TRUE,TRUE,3
"COX6C",TRUE,TRUE,TRUE,3
"COX7A2",TRUE,TRUE,TRUE,3
"CSTB",TRUE,TRUE,TRUE,3
"CTGF",TRUE,TRUE,TRUE,3
"CYB5R3",TRUE,TRUE,TRUE,3
"CYSTM1",TRUE,TRUE,TRUE,3
